Timestamp,Currency,Price,Bid Price,Bid Volume,Ask Price,Ask Volume
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XL,82.27000,82.29000,31,82.30000,15
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XL,82.27000,82.29000,31,82.30000,15
2024-05-04 12:19:53.177483,XE,0.049130,0.049120,25,0.049130,2
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XL,82.27000,82.29000,31,82.30000,15
2024-05-04 12:19:53.177483,XE,0.049130,0.049120,25,0.049130,2
2024-05-04 12:19:53.177483,XX,125.36000000,125.38000000,6,125.39000000,11
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XL,82.27000,82.29000,31,82.30000,15
2024-05-04 12:19:53.177483,XE,0.049130,0.049120,25,0.049130,2
2024-05-04 12:19:53.177483,XX,125.36000000,125.38000000,6,125.39000000,11
2024-05-04 12:19:53.177483,XX,0.11134600,0.11127000,98,0.11127300,22468
2024-05-04 12:19:53.177483,XX,63593.10000,63593.10000,1,63593.20000,2
2024-05-04 12:19:53.177483,XE,3125.84000,3125.83000,1,3125.84000,233
2024-05-04 12:19:53.177483,US,1.00020000,1.00019000,294602,1.00020000,1561081
2024-05-04 12:19:53.177483,XX,0.53505000,0.53495000,12385,0.53496000,1653
2024-05-04 12:19:53.177483,XL,82.27000,82.29000,31,82.30000,15
2024-05-04 12:19:53.177483,XE,0.049130,0.049120,25,0.049130,2
2024-05-04 12:19:53.177483,XX,125.36000000,125.38000000,6,125.39000000,11
